Date;Country;Cases;Deaths;Population;retail_and_recreation_percent_change_from_baseline;grocery_and_pharmacy_percent_change_from_baseline;parks_percent_change_from_baseline;transit_stations_percent_change_from_baseline;workplaces_percent_change_from_baseline;residential_percent_change_from_baseline;walking;driving;;
03/04/2021;Czechia;3869;102;10693939;-59.0;24.0;-24.0;-42.0;-15.0;9.0;36.57;52.45;;
03/04/2021;Denmark;708;1;5822763;-13.0;14.0;159.0;-29.0;-1.0;0.0;126.39;118.55;;
03/04/2021;Estonia;519;9;1328976;-50.0;-4.0;20.0;-39.0;-24.0;6.0;94.96;99.48;;
03/04/2021;Finland;566;3;5525292;-38.0;-1.0;83.0;-51.0;-14.0;3.0;92.65;117.85;;
03/04/2021;France;38693;332;67320216;-38.0;11.0;12.0;-30.0;-17.0;5.0;70.37;90.11;;
03/04/2021;Germany;18129;120;83166711;-43.0;10.0;48.0;-36.0;-11.0;7.0;91.31;83.18;;
03/04/2021;Greece;3058;72;10718565;-49.0;15.0;66.0;-38.0;-23.0;5.0;89.36;85.16;;
03/04/2021;Hungary;8637;242;9769526;-38.0;22.0;6.0;-33.0;-23.0;6.0;45.25;78.28;;
03/04/2021;Ireland;587;8;4964440;-46.0;20.0;47.0;-54.0;-24.0;8.0;60.05;63.44;;
03/04/2021;Italy;21917;481;59641488;-51.0;8.0;-29.0;-51.0;-37.0;13.0;39.86;48.64;;
03/04/2021;Latvia;587;9;1907675;-34.0;-4.0;28.0;-37.0;-19.0;3.0;64.03;79.64;;
03/04/2021;Lithuania;860;11;2794090;-46.0;35.0;-1.0;-40.0;-4.0;5.0;72.33;53.74;;
03/04/2021;Luxembourg;224;1;626108;-34.0;20.0;50.0;-24.0;-14.0;6.0;100.91;73.48;;
03/04/2021;Netherlands;7239;16;17407585;-38.0;12.0;74.0;-40.0;-1.0;6.0;95.32;79.82;;
03/04/2021;Norway;691;0;5367580;-47.0;-8.0;91.0;-45.0;-21.0;3.0;73.63;84.51;;
03/04/2021;Poland;30541;500;37958138;-63.0;-29.0;-13.0;-50.0;-36.0;11.0;46.78;54.15;;
03/04/2021;Portugal;548;9;10295909;-55.0;3.0;-31.0;-55.0;-26.0;15.0;37.09;46.34;;
03/04/2021;Romania;5808;145;19328838;-34.0;1.0;-28.0;-28.0;-13.0;1.0;82.43;78.02;;
03/04/2021;Slovakia;1381;87;5457873;-50.0;28.0;-14.0;-49.0;-18.0;8.0;53.91;46.71;;
03/04/2021;Slovenia;1179;18;2095861;-56.0;-7.0;-16.0;-41.0;-26.0;11.0;68.22;52.45;;
03/04/2021;Spain;9571;157;47332614;-33.0;9.0;21.0;-28.0;-21.0;4.0;89.14;103.4;;
03/04/2021;Sweden;3405;18;10327589;-35.0;-12.0;100.0;-35.0;-9.0;2.0;84.37;108.58;;
04/04/2021;Austria;3693;23;8901064;-69.0;-29.0;5.0;-46.0;-22.0;5.0;45.65;59.14;;
04/04/2021;Belgium;1521;36;11522440;-48.0;-3.0;47.0;-31.0;-8.0;6.0;87.51;76.44;;
04/04/2021;Bulgaria;1919;69;6951482;-46.0;4.0;-15.0;-18.0;-16.0;-2.0;77.14;73.68;;
04/04/2021;Croatia;2234;29;4058165;-68.0;-79.0;32.0;-49.0;-31.0;4.0;86.35;84.95;;
04/04/2021;Czechia;2162;78;10693939;-51.0;14.0;52.0;-29.0;-10.0;5.0;46.24;54.09;;
04/04/2021;Denmark;745;4;5822763;-46.0;-26.0;63.0;-38.0;-9.0;1.0;89.09;100.16;;
04/04/2021;Estonia;462;10;1328976;-45.0;0.0;65.0;-32.0;-20.0;2.0;93.92;100.18;;
04/04/2021;Finland;422;1;5525292;-39.0;-2.0;93.0;-51.0;-11.0;3.0;81.04;107.97;;
04/04/2021;France;24320;185;67320216;-44.0;20.0;28.0;-38.0;-10.0;4.0;50.26;68.46;;
04/04/2021;Germany;12196;68;83166711;-54.0;-6.0;64.0;-35.0;-1.0;3.0;72.12;71.3;;
04/04/2021;Greece;3229;70;10718565;-51.0;24.0;76.0;-36.0;-26.0;6.0;80.63;82.63;;
04/04/2021;Hungary;6566;211;9769526;-65.0;-76.0;38.0;-37.0;-21.0;4.0;40.89;78.35;;
04/04/2021;Ireland;508;2;4964440;-67.0;-27.0;27.0;-60.0;-20.0;9.0;40.68;46.71;;
04/04/2021;Italy;21247;376;59641488;-76.0;-74.0;-43.0;-60.0;-27.0;11.0;28.07;35.04;;
04/04/2021;Latvia;279;1;1907675;-35.0;-7.0;109.0;-27.0;-13.0;-2.0;56.84;80.09;;
04/04/2021;Lithuania;1013;8;2794090;-78.0;-74.0;59.0;-50.0;-15.0;3.0;59.17;44.34;;
04/04/2021;Luxembourg;0;0;626108;-54.0;-20.0;97.0;-30.0;-13.0;2.0;69.97;54.1;;
04/04/2021;Netherlands;7620;31;17407585;-59.0;-37.0;74.0;-43.0;0.0;4.0;67.99;63.33;;
04/04/2021;Norway;0;0;5367580;-54.0;-14.0;2.0;-49.0;-18.0;3.0;66.11;105.29;;
04/04/2021;Poland;28073;572;37958138;-76.0;-47.0;15.0;-53.0;-13.0;3.0;46.72;53.06;;
04/04/2021;Portugal;280;7;10295909;-68.0;-49.0;-36.0;-59.0;-18.0;12.0;33.35;44.29;;
04/04/2021;Romania;5498;154;19328838;-33.0;-2.0;-18.0;-32.0;-13.0;1.0;78.51;80.66;;
04/04/2021;Slovakia;2579;71;5457873;-74.0;-81.0;29.0;-56.0;-22.0;7.0;63.22;49.04;;
04/04/2021;Slovenia;1297;4;2095861;-74.0;-86.0;23.0;-35.0;-24.0;4.0;72.35;59.09;;
04/04/2021;Spain;0;0;47332614;-30.0;13.0;20.0;-24.0;-12.0;1.0;73.53;96.43;;
04/04/2021;Sweden;1449;14;10327589;-25.0;-13.0;97.0;-37.0;-7.0;1.0;78.01;120.27;;
05/04/2021;Austria;2915;24;8901064;-72.0;-85.0;86.0;-56.0;-83.0;22.0;65.73;82.54;;
05/04/2021;Belgium;1586;49;11522440;-65.0;-58.0;25.0;-65.0;-82.0;26.0;78.58;85.3;;
05/04/2021;Bulgaria;740;82;6951482;-31.0;8.0;16.0;-8.0;-33.0;4.0;104.44;80.34;;
05/04/2021;Croatia;1376;33;4058165;-40.0;-45.0;153.0;-45.0;-79.0;12.0;120.52;121.31;;
05/04/2021;Czechia;1924;112;10693939;-82.0;-87.0;2.0;-62.0;-82.0;29.0;37.05;61.06;;
05/04/2021;Denmark;600;1;5822763;-54.0;-27.0;50.0;-57.0;-81.0;21.0;98.86;112.02;;
05/04/2021;Estonia;382;9;1328976;-37.0;-3.0;-19.0;-41.0;-36.0;14.0;72.64;88.37;;
05/04/2021;Finland;302;0;5525292;-55.0;-20.0;26.0;-67.0;-82.0;20.0;76.9;114.57;;
05/04/2021;France;4932;185;67320216;-64.0;-50.0;27.0;-59.0;-83.0;23.0;47.2;78.24;;
05/04/2021;Germany;8497;50;83166711;-78.0;-91.0;-1.0;-66.0;-84.0;25.0;70.89;87.88;;
05/04/2021;Greece;1955;78;10718565;-42.0;13.0;33.0;-41.0;-32.0;8.0;80.52;74.58;;
05/04/2021;Hungary;3874;213;9769526;-69.0;-80.0;112.0;-58.0;-84.0;24.0;55.52;98.01;;
05/04/2021;Ireland;453;3;4964440;-46.0;-9.0;49.0;-71.0;-80.0;25.0;41.54;54.61;;
05/04/2021;Italy;18017;326;59641488;-71.0;-61.0;11.0;-67.0;-81.0;24.0;40.49;55.29;;
05/04/2021;Latvia;238;8;1907675;-48.0;-28.0;1.0;-61.0;-80.0;21.0;53.53;71.88;;
05/04/2021;Lithuania;729;8;2794090;-66.0;-16.0;25.0;-63.0;-83.0;23.0;71.34;60.98;;
05/04/2021;Luxembourg;255;0;626108;-81.0;-80.0;-30.0;-73.0;-87.0;31.0;60.49;61.48;;
05/04/2021;Netherlands;6812;16;17407585;-52.0;-34.0;11.0;-67.0;-81.0;22.0;59.39;75.08;;
05/04/2021;Norway;0;0;5367580;-72.0;-76.0;42.0;-61.0;-83.0;23.0;80.42;104.21;;
05/04/2021;Poland;22958;204;37958138;-80.0;-83.0;14.0;-68.0;-85.0;22.0;51.74;73.76;;
05/04/2021;Portugal;193;4;10295909;-27.0;15.0;10.0;-43.0;-36.0;13.0;54.94;70.53;;
05/04/2021;Romania;4151;97;19328838;-25.0;0.0;-13.0;-30.0;-35.0;4.0;104.73;88.93;;
05/04/2021;Slovakia;707;77;5457873;-77.0;-80.0;119.0;-65.0;-81.0;24.0;76.45;61.42;;
05/04/2021;Slovenia;721;3;2095861;-77.0;-87.0;124.0;-60.0;-84.0;27.0;81.03;68.04;;
05/04/2021;Spain;10360;85;47332614;-28.0;-13.0;45.0;-32.0;-47.0;9.0;74.57;94.06;;
05/04/2021;Sweden;3105;23;10327589;-35.0;-16.0;32.0;-61.0;-80.0;20.0;79.24;122.71;;
06/04/2021;Austria;2268;26;8901064;-48.0;2.0;-20.0;-40.0;-31.0;11.0;64.63;86.06;;
06/04/2021;Belgium;5297;46;11522440;-35.0;18.0;15.0;-48.0;-49.0;17.0;91.33;95.88;;
06/04/2021;Bulgaria;3860;197;6951482;-30.0;8.0;24.0;-6.0;-31.0;3.0;106.67;82.66;;
06/04/2021;Croatia;138;25;4058165;-34.0;1.0;-12.0;-41.0;-33.0;9.0;99.11;107.93;;
06/04/2021;Czechia;1425;112;10693939;-47.0;11.0;-20.0;-36.0;-29.0;13.0;45.95;78.28;;
06/04/2021;Denmark;479;1;5822763;-3.0;13.0;58.0;-34.0;-31.0;8.0;116.19;117.71;;
06/04/2021;Estonia;899;14;1328976;-35.0;2.0;4.0;-36.0;-35.0;12.0;83.91;90.18;;
06/04/2021;Finland;341;1;5525292;-28.0;5.0;14.0;-46.0;-30.0;11.0;94.91;108.54;;
06/04/2021;France;8602;197;67320216;-45.0;8.0;-9.0;-40.0;-39.0;14.0;57.32;81.21;;
06/04/2021;Germany;6885;90;83166711;-37.0;9.0;2.0;-39.0;-35.0;13.0;88.62;96.04;;
06/04/2021;Greece;1863;73;10718565;-43.0;13.0;27.0;-41.0;-32.0;9.0;84.31;74.74;;
06/04/2021;Hungary;1890;170;9769526;-38.0;4.0;-11.0;-40.0;-38.0;14.0;56.6;89.82;;
06/04/2021;Ireland;318;0;4964440;-37.0;8.0;27.0;-61.0;-50.0;16.0;47.32;64.99;;
06/04/2021;Italy;10680;296;59641488;-40.0;-2.0;-21.0;-45.0;-34.0;13.0;48.23;71.09;;
06/04/2021;Latvia;119;3;1907675;-30.0;-8.0;14.0;-40.0;-34.0;10.0;72.92;77.22;;
06/04/2021;Lithuania;605;5;2794090;-42.0;11.0;10.0;-36.0;-31.0;9.0;105.22;86.3;;
06/04/2021;Luxembourg;54;10;626108;-31.0;8.0;-7.0;-34.0;-44.0;13.0;94.09;86.74;;
06/04/2021;Netherlands;5314;7;17407585;-40.0;-1.0;7.0;-49.0;-31.0;12.0;69.55;84.55;;
06/04/2021;Norway;1904;3;5367580;-23.0;13.0;7.0;-44.0;-31.0;11.0;92.41;97.32;;
06/04/2021;Poland;9921;64;37958138;-44.0;-10.0;-3.0;-40.0;-34.0;11.0;70.58;88.78;;
06/04/2021;Portugal;159;6;10295909;-26.0;13.0;4.0;-40.0;-27.0;10.0;57.92;78.11;;
06/04/2021;Romania;3611;120;19328838;-24.0;3.0;-8.0;-28.0;-31.0;3.0;114.09;88.4;;
06/04/2021;Slovakia;972;69;5457873;-45.0;4.0;-1.0;-43.0;-35.0;11.0;81.56;78.16;;
06/04/2021;Slovenia;283;1;2095861;-59.0;-21.0;-38.0;-51.0;-37.0;18.0;74.57;66.32;;
06/04/2021;Spain;6623;128;47332614;-25.0;13.0;9.0;-22.0;-22.0;5.0;73.77;87.58;;
06/04/2021;Sweden;6813;12;10327589;-14.0;-1.0;54.0;-40.0;-36.0;9.0;100.71;117.89;;
07/04/2021;Austria;2077;35;8901064;-50.0;-4.0;-25.0;-40.0;-30.0;12.0;65.49;85.94;;
07/04/2021;Belgium;4781;42;11522440;-39.0;5.0;19.0;-45.0;-46.0;15.0;100.45;99.51;;
07/04/2021;Bulgaria;4004;132;6951482;-38.0;5.0;-17.0;-18.0;-33.0;6.0;91.18;83.33;;
07/04/2021;Croatia;735;30;4058165;-22.0;15.0;28.0;-34.0;-31.0;6.0;126.86;106.86;;
07/04/2021;Czechia;5532;160;10693939;-49.0;3.0;-18.0;-35.0;-29.0;14.0;48.2;81.43;;
07/04/2021;Denmark;520;2;5822763;-12.0;2.0;60.0;-35.0;-31.0;9.0;118.35;119.17;;
07/04/2021;Estonia;984;12;1328976;-33.0;4.0;21.0;-33.0;-35.0;12.0;90.09;93.99;;
07/04/2021;Finland;331;2;5525292;-27.0;4.0;39.0;-45.0;-28.0;11.0;95.17;109.59;;
07/04/2021;France;53843;426;67320216;-47.0;4.0;-1.0;-39.0;-36.0;13.0;61.31;83.4;;
07/04/2021;Germany;9677;298;83166711;-40.0;-2.0;-1.0;-40.0;-34.0;13.0;87.25;94.43;;
07/04/2021;Greece;4293;79;10718565;-42.0;14.0;45.0;-40.0;-32.0;8.0;82.36;77.36;;
07/04/2021;Hungary;1933;311;9769526;-31.0;3.0;0.0;-36.0;-34.0;13.0;58.85;90.77;;
07/04/2021;Ireland;441;9;4964440;-41.0;4.0;22.0;-60.0;-49.0;17.0;47.92;66.79;;
07/04/2021;Italy;7763;421;59641488;-40.0;1.0;-16.0;-42.0;-26.0;12.0;51.31;72.02;;
07/04/2021;Latvia;309;3;1907675;-23.0;-4.0;26.0;-35.0;-33.0;9.0;73.55;79.01;;
07/04/2021;Lithuania;688;8;2794090;-36.0;20.0;35.0;-31.0;-30.0;8.0;118.43;97.33;;
07/04/2021;Luxembourg;211;1;626108;-37.0;-1.0;-21.0;-35.0;-44.0;14.0;94.96;86.83;;
07/04/2021;Netherlands;5534;20;17407585;-41.0;-1.0;5.0;-47.0;-28.0;12.0;75.94;84.29;;
07/04/2021;Norway;575;1;5367580;-27.0;1.0;17.0;-44.0;-29.0;11.0;97.47;97.99;;
07/04/2021;Poland;8246;60;37958138;-42.0;-7.0;-11.0;-41.0;-29.0;11.0;69.37;86.83;;
07/04/2021;Portugal;874;2;10295909;-27.0;11.0;9.0;-39.0;-27.0;10.0;59.05;76.92;;
07/04/2021;Romania;5231;196;19328838;-28.0;1.0;-34.0;-33.0;-32.0;5.0;99.74;87.13;;
07/04/2021;Slovakia;2629;0;5457873;-46.0;0.0;-7.0;-42.0;-30.0;12.0;84.27;79.38;;
07/04/2021;Slovenia;276;0;2095861;-53.0;-14.0;-18.0;-47.0;-34.0;16.0;82.12;70.2;;
07/04/2021;Spain;8788;126;47332614;-27.0;10.0;5.0;-24.0;-21.0;6.0;73.86;87.8;;
07/04/2021;Sweden;7832;22;10327589;-15.0;0.0;54.0;-40.0;-35.0;10.0;102.14;119.06;;
08/04/2021;Austria;3006;46;8901064;-49.0;-1.0;-20.0;-39.0;-29.0;11.0;69.33;87.04;;
08/04/2021;Belgium;4499;43;11522440;-33.0;14.0;72.0;-40.0;-46.0;16.0;112.46;103.17;;
08/04/2021;Bulgaria;3556;116;6951482;-34.0;11.0;-3.0;-9.0;-31.0;5.0;107.23;94.54;;
08/04/2021;Croatia;1649;36;4058165;-16.0;15.0;55.0;-28.0;-29.0;4.0;139.06;108.85;;
08/04/2021;Czechia;7071;137;10693939;-48.0;4.0;-17.0;-36.0;-28.0;14.0;50.51;81.59;;
08/04/2021;Denmark;614;3;5822763;-14.0;0.0;55.0;-37.0;-30.0;9.0;112.12;117.53;;
08/04/2021;Estonia;757;14;1328976;-32.0;5.0;30.0;-32.0;-35.0;11.0;101.95;100.42;;
08/04/2021;Finland;348;1;5525292;-26.0;5.0;55.0;-44.0;-26.0;10.0;100.59;113.23;;
08/04/2021;France;39110;421;67320216;-47.0;4.0;11.0;-38.0;-38.0;14.0;62.38;83.28;;
08/04/2021;Germany;20407;306;83166711;-37.0;4.0;26.0;-37.0;-32.0;12.0;97.17;97.75;;
08/04/2021;Greece;3445;75;10718565;-46.0;17.0;15.0;-43.0;-32.0;10.0;80.18;77.07;;
08/04/2021;Hungary;4814;272;9769526;-30.0;1.0;-15.0;-37.0;-33.0;14.0;58.26;90.84;;
08/04/2021;Ireland;418;5;4964440;-42.0;6.0;13.0;-62.0;-48.0;18.0;48.22;68.82;;
08/04/2021;Italy;13686;627;59641488;-38.0;4.0;-2.0;-39.0;-25.0;11.0;55.25;74.45;;
08/04/2021;Latvia;643;9;1907675;-24.0;1.0;23.0;-35.0;-33.0;9.0;79.11;85.57;;
08/04/2021;Lithuania;1120;12;2794090;-36.0;21.0;22.0;-31.0;-30.0;8.0;118.97;98.93;;
08/04/2021;Luxembourg;168;1;626108;-31.0;2.0;20.0;-30.0;-41.0;12.0;108.85;89.52;;
08/04/2021;Netherlands;6333;23;17407585;-39.0;3.0;26.0;-48.0;-28.0;12.0;83.1;86.0;;
08/04/2021;Norway;898;6;5367580;-28.0;-1.0;9.0;-45.0;-28.0;12.0;93.88;98.29;;
08/04/2021;Poland;14908;638;37958138;-39.0;-2.0;-7.0;-40.0;-27.0;11.0;73.14;88.43;;
08/04/2021;Portugal;663;3;10295909;-26.0;17.0;6.0;-40.0;-26.0;10.0;57.98;76.76;;
08/04/2021;Romania;5407;175;19328838;-24.0;4.0;-21.0;-28.0;-29.0;4.0;108.23;93.11;;
08/04/2021;Slovakia;2542;149;5457873;-46.0;2.0;-17.0;-43.0;-28.0;12.0;86.04;80.46;;
08/04/2021;Slovenia;1188;6;2095861;-47.0;-10.0;15.0;-40.0;-33.0;14.0;100.73;76.78;;
08/04/2021;Spain;9901;142;47332614;-26.0;8.0;7.0;-22.0;-20.0;6.0;75.8;89.76;;
08/04/2021;Sweden;7757;22;10327589;-12.0;2.0;53.0;-40.0;-35.0;10.0;101.13;120.95;;
09/04/2021;Austria;3052;36;8901064;-47.0;1.0;19.0;-35.0;-29.0;10.0;77.23;90.27;;
09/04/2021;Belgium;4535;44;11522440;-39.0;11.0;78.0;-38.0;-45.0;16.0;116.29;105.52;;
09/04/2021;Bulgaria;2957;136;6951482;-31.0;13.0;16.0;-6.0;-29.0;3.0;116.75;102.49;;
09/04/2021;Croatia;3217;36;4058165;-18.0;18.0;56.0;-29.0;-28.0;4.0;145.65;121.62;;
09/04/2021;Czechia;5305;151;10693939;-45.0;9.0;11.0;-31.0;-25.0;12.0;56.97;83.45;;
09/04/2021;Denmark;717;1;5822763;-17.0;-1.0;59.0;-39.0;-29.0;9.0;124.82;122.93;;
09/04/2021;Estonia;677;16;1328976;-40.0;1.0;-33.0;-43.0;-35.0;14.0;82.0;99.68;;
09/04/2021;Finland;426;2;5525292;-32.0;0.0;2.0;-51.0;-26.0;12.0;84.43;119.71;;
09/04/2021;France;37007;343;67320216;-48.0;0.0;-6.0;-40.0;-38.0;17.0;63.3;83.48;;
09/04/2021;Germany;25464;296;83166711;-36.0;1.0;54.0;-36.0;-31.0;12.0;102.72;99.87;;
09/04/2021;Greece;3215;73;10718565;-46.0;21.0;23.0;-42.0;-31.0;10.0;87.83;82.84;;
09/04/2021;Hungary;7325;285;9769526;-23.0;11.0;22.0;-30.0;-31.0;11.0;69.67;104.38;;
09/04/2021;Ireland;398;5;4964440;-44.0;5.0;13.0;-61.0;-46.0;18.0;49.85;71.86;;
09/04/2021;Italy;17209;487;59641488;-39.0;6.0;-3.0;-40.0;-25.0;12.0;55.77;74.26;;
09/04/2021;Latvia;740;17;1907675;-24.0;0.0;1.0;-38.0;-32.0;10.0;75.82;90.76;;
09/04/2021;Lithuania;1107;12;2794090;-38.0;26.0;22.0;-30.0;-29.0;7.0;129.54;109.79;;
09/04/2021;Luxembourg;387;0;626108;-34.0;3.0;28.0;-31.0;-42.0;14.0;113.46;88.19;;
09/04/2021;Netherlands;7777;19;17407585;-37.0;4.0;52.0;-43.0;-24.0;10.0;92.62;89.28;;
09/04/2021;Norway;934;1;5367580;-27.0;-1.0;13.0;-44.0;-26.0;11.0;96.41;100.84;;
09/04/2021;Poland;27890;956;37958138;-32.0;6.0;17.0;-36.0;-24.0;9.0;91.82;100.53;;
09/04/2021;Portugal;602;9;10295909;-33.0;14.0;-8.0;-41.0;-26.0;11.0;61.74;82.84;;
09/04/2021;Romania;4989;172;19328838;-25.0;5.0;-15.0;-22.0;-14.0;1.0;111.33;97.98;;
09/04/2021;Slovakia;1692;79;5457873;-41.0;10.0;25.0;-39.0;-25.0;11.0;92.49;80.59;;
09/04/2021;Slovenia;1531;16;2095861;-47.0;-9.0;18.0;-39.0;-31.0;15.0;98.91;80.01;;
09/04/2021;Spain;10875;149;47332614;-32.0;3.0;-10.0;-26.0;-20.0;8.0;80.13;92.49;;
09/04/2021;Sweden;7630;24;10327589;-20.0;-5.0;4.0;-44.0;-36.0;12.0;98.77;120.31;;
10/04/2021;Austria;2432;34;8901064;-48.0;-5.0;46.0;-34.0;-18.0;6.0;76.17;82.84;;
10/04/2021;Belgium;2377;46;11522440;-51.0;0.0;-24.0;-43.0;-15.0;12.0;89.33;90.44;;
10/04/2021;Bulgaria;2803;138;6951482;-29.0;6.0;39.0;1.0;-15.0;-3.0;116.47;101.75;;
10/04/2021;Croatia;2599;50;4058165;-19.0;11.0;62.0;-24.0;-12.0;-1.0;117.16;115.52;;
10/04/2021;Czechia;4819;117;10693939;-50.0;6.0;28.0;-25.0;0.0;5.0;53.8;69.39;;
10/04/2021;Denmark;698;0;5822763;-18.0;-1.0;117.0;-32.0;1.0;4.0;129.98;112.84;;
10/04/2021;Estonia;638;14;1328976;-45.0;3.0;7.0;-37.0;-16.0;5.0;92.49;100.27;;
10/04/2021;Finland;419;2;5525292;-31.0;3.0;11.0;-51.0;-5.0;6.0;93.75;120.31;;
10/04/2021;France;37967;330;67320216;-53.0;-3.0;-34.0;-42.0;-22.0;11.0;56.25;72.37;;
10/04/2021;Germany;24097;246;83166711;-48.0;-4.0;20.0;-38.0;-7.0;8.0;93.48;88.53;;
10/04/2021;Greece;2734;78;10718565;-45.0;18.0;59.0;-35.0;-21.0;5.0;99.48;89.61;;
10/04/2021;Hungary;8053;245;9769526;-20.0;8.0;62.0;-10.0;1.0;2.0;71.29;104.8;;
10/04/2021;Ireland;469;32;4964440;-48.0;8.0;22.0;-58.0;-20.0;10.0;53.11;67.23;;
10/04/2021;Italy;18924;718;59641488;-46.0;-2.0;-20.0;-44.0;-24.0;11.0;51.5;62.95;;
10/04/2021;Latvia;658;18;1907675;-23.0;2.0;33.0;-27.0;-7.0;1.0;79.39;94.23;;
10/04/2021;Lithuania;1182;13;2794090;-37.0;25.0;56.0;-28.0;0.0;-1.0;120.84;101.84;;
10/04/2021;Luxembourg;287;1;626108;-41.0;2.0;-37.0;-35.0;-17.0;9.0;85.43;68.78;;
10/04/2021;Netherlands;7621;40;17407585;-47.0;-2.0;2.0;-48.0;-3.0;9.0;81.58;78.89;;
10/04/2021;Norway;878;0;5367580;-34.0;-2.0;50.0;-41.0;-11.0;6.0;95.67;88.97;;
10/04/2021;Poland;28499;768;37958138;-35.0;0.0;57.0;-27.0;-4.0;3.0;97.54;92.69;;
10/04/2021;Portugal;694;5;10295909;-50.0;-1.0;-33.0;-48.0;-17.0;11.0;48.69;73.53;;
10/04/2021;Romania;4942;134;19328838;-25.0;4.0;5.0;-17.0;-8.0;-3.0;106.22;91.44;;
10/04/2021;Slovakia;2013;89;5457873;-40.0;5.0;64.0;-30.0;0.0;3.0;88.37;69.29;;
10/04/2021;Slovenia;1279;16;2095861;-45.0;-2.0;23.0;-21.0;-9.0;6.0;81.39;68.74;;
10/04/2021;Spain;0;0;47332614;-36.0;1.0;-17.0;-30.0;-14.0;7.0;81.86;87.59;;
10/04/2021;Sweden;5627;11;10327589;-17.0;-2.0;82.0;-29.0;0.0;3.0;108.71;123.12;;
11/04/2021;Austria;3559;27;8901064;-53.0;-12.0;52.0;-28.0;-19.0;5.0;71.3;85.65;;
11/04/2021;Belgium;1306;22;11522440;-50.0;-1.0;23.0;-34.0;-9.0;7.0;90.55;91.47;;
11/04/2021;Bulgaria;1352;43;6951482;-23.0;6.0;104.0;9.0;-12.0;-6.0;107.98;100.63;;
11/04/2021;Croatia;2535;34;4058165;-27.0;3.0;11.0;-21.0;-15.0;1.0;86.57;93.2;;
11/04/2021;Czechia;2217;74;10693939;-43.0;0.0;71.0;-18.0;1.0;3.0;60.22;85.7;;
11/04/2021;Denmark;755;3;5822763;-21.0;-12.0;-18.0;-45.0;-6.0;6.0;92.5;108.84;;
11/04/2021;Estonia;438;0;1328976;-36.0;6.0;103.0;-26.0;-14.0;1.0;103.54;105.55;;
11/04/2021;Finland;446;0;5525292;-26.0;4.0;89.0;-44.0;-2.0;4.0;106.83;118.56;;
11/04/2021;France;24061;207;67320216;-54.0;1.0;-31.0;-45.0;-18.0;9.0;45.12;68.88;;
11/04/2021;Germany;17855;104;83166711;-48.0;3.0;50.0;-33.0;-5.0;6.0;89.39;91.0;;
11/04/2021;Greece;2799;75;10718565;-45.0;34.0;104.0;-31.0;-25.0;5.0;87.39;93.28;;
11/04/2021;Hungary;6296;206;9769526;-16.0;10.0;46.0;-13.0;-1.0;3.0;55.58;93.34;;
11/04/2021;Ireland;451;14;4964440;-49.0;1.0;23.0;-59.0;-17.0;9.0;45.42;63.24;;
11/04/2021;Italy;17551;344;59641488;-63.0;-28.0;-48.0;-54.0;-24.0;13.0;39.53;58.47;;
11/04/2021;Latvia;666;5;1907675;-16.0;7.0;118.0;-18.0;-3.0;-2.0;79.92;94.54;;
11/04/2021;Lithuania;999;11;2794090;-31.0;30.0;157.0;-19.0;4.0;-5.0;123.42;103.64;;
11/04/2021;Luxembourg;183;5;626108;-60.0;-12.0;-42.0;-46.0;-22.0;8.0;63.78;62.56;;
11/04/2021;Netherlands;7667;22;17407585;-46.0;-3.0;38.0;-43.0;-1.0;6.0;73.6;77.61;;
11/04/2021;Norway;0;0;5367580;-40.0;-1.0;27.0;-42.0;-9.0;6.0;90.76;98.52;;
11/04/2021;Poland;24892;749;37958138;-25.0;10.0;116.0;-15.0;-2.0;2.0;93.39;97.9;;
11/04/2021;Portugal;601;6;10295909;-50.0;-11.0;-7.0;-46.0;-15.0;7.0;46.26;73.31;;
11/04/2021;Romania;4310;139;19328838;-15.0;10.0;43.0;-14.0;-7.0;-5.0;106.7;95.25;;
11/04/2021;Slovakia;1981;76;5457873;-45.0;-1.0;34.0;-36.0;-7.0;4.0;81.88;74.41;;
11/04/2021;Slovenia;1251;0;2095861;-75.0;-87.0;-31.0;-44.0;-22.0;9.0;66.8;68.48;;
11/04/2021;Spain;0;0;47332614;-37.0;2.0;-18.0;-34.0;-14.0;6.0;61.14;79.81;;
11/04/2021;Sweden;2390;16;10327589;-22.0;-9.0;17.0;-42.0;-4.0;5.0;86.97;116.29;;
12/04/2021;Austria;2139;18;8901064;-45.0;-5.0;-14.0;-37.0;-27.0;10.0;66.83;86.09;;
12/04/2021;Belgium;4778;43;11522440;-30.0;5.0;45.0;-41.0;-43.0;14.0;102.23;104.21;;
12/04/2021;Bulgaria;462;67;6951482;-20.0;13.0;38.0;4.0;-22.0;0.0;111.69;83.33;;
12/04/2021;Croatia;1617;39;4058165;-21.0;11.0;9.0;-32.0;-21.0;5.0;99.46;87.17;;
12/04/2021;Czechia;995;110;10693939;-40.0;7.0;-21.0;-31.0;-25.0;11.0;49.19;94.98;;
12/04/2021;Denmark;691;2;5822763;-9.0;-3.0;68.0;-34.0;-29.0;8.0;120.29;119.04;;
12/04/2021;Estonia;269;17;1328976;-27.0;5.0;74.0;-28.0;-33.0;9.0;116.05;102.75;;
12/04/2021;Finland;346;1;5525292;-22.0;3.0;42.0;-43.0;-24.0;9.0;100.57;109.02;;
