Date;Country;Cases;Deaths;Population;retail_and_recreation_percent_change_from_baseline;grocery_and_pharmacy_percent_change_from_baseline;parks_percent_change_from_baseline;transit_stations_percent_change_from_baseline;workplaces_percent_change_from_baseline;residential_percent_change_from_baseline;walking;driving;;
03/03/2021;Austria;1926;17;8901064;-39.0;-2.0;16.0;-29.0;-27.0;8.0;83.87;90.24;;
03/03/2021;Belgium;2790;26;11522440;-27.0;5.0;56.0;-26.0;-24.0;9.0;116.53;100.02;;
03/03/2021;Bulgaria;2403;83;6951482;-14.0;6.0;90.0;-17.0;-66.0;10.0;139.69;110.19;;
03/03/2021;Croatia;394;11;4058165;-19.0;12.0;40.0;-20.0;-13.0;1.0;108.17;88.09;;
03/03/2021;Czechia;16816;240;10693939;-54.0;-5.0;-9.0;-42.0;-34.0;16.0;47.47;64.75;;
03/03/2021;Denmark;532;2;5822763;-20.0;-4.0;38.0;-43.0;-33.0;11.0;112.59;110.41;;
03/03/2021;Estonia;1454;17;1328976;-21.0;1.0;-3.0;-33.0;-29.0;11.0;97.6;84.96;;
03/03/2021;Finland;581;1;5525292;-18.0;1.0;37.0;-42.0;-33.0;11.0;94.06;107.16;;
03/03/2021;France;21151;417;67320216;-38.0;0.0;23.0;-29.0;-30.0;9.0;78.76;97.15;;
03/03/2021;Germany;9019;418;83166711;-38.0;-1.0;56.0;-33.0;-24.0;10.0;95.02;89.25;;
03/03/2021;Greece;2312;23;10718565;-48.0;17.0;25.0;-46.0;-31.0;8.0;97.68;82.03;;
03/03/2021;Hungary;4211;136;9769526;-26.0;4.0;28.0;-26.0;-24.0;9.0;68.85;92.02;;
03/03/2021;Ireland;357;14;4964440;-47.0;0.0;2.0;-62.0;-45.0;18.0;41.64;55.95;;
03/03/2021;Italy;17063;343;59641488;-31.0;0.0;4.0;-36.0;-23.0;10.0;63.36;78.43;;
03/03/2021;Latvia;645;17;1907675;-33.0;-13.0;6.0;-43.0;-35.0;11.0;71.39;70.59;;
03/03/2021;Lithuania;427;10;2794090;-47.0;13.0;14.0;-40.0;-31.0;11.0;105.13;74.92;;
03/03/2021;Luxembourg;152;2;626108;-37.0;-2.0;1.0;-25.0;-26.0;10.0;102.06;79.97;;
03/03/2021;Netherlands;3976;65;17407585;-35.0;1.0;42.0;-47.0;-29.0;10.0;84.79;82.63;;
03/03/2021;Norway;731;0;5367580;-19.0;-1.0;15.0;-44.0;-28.0;9.0;93.59;98.94;;
03/03/2021;Poland;7936;215;37958138;-20.0;0.0;21.0;-30.0;-20.0;6.0;89.31;91.94;;
03/03/2021;Portugal;691;38;10295909;-53.0;-4.0;-25.0;-56.0;-42.0;19.0;38.46;54.73;;
03/03/2021;Romania;3950;106;19328838;-21.0;6.0;-16.0;-24.0;-24.0;2.0;110.33;84.05;;
03/03/2021;Slovakia;6107;118;5457873;-50.0;-6.0;30.0;-46.0;-35.0;13.0;90.35;69.26;;
03/03/2021;Slovenia;732;11;2095861;-38.0;-9.0;30.0;-26.0;-22.0;7.0;118.57;87.92;;
03/03/2021;Spain;6137;446;47332614;-33.0;4.0;-3.0;-25.0;-19.0;7.0;65.23;77.13;;
03/03/2021;Sweden;4876;19;10327589;-21.0;-5.0;27.0;-41.0;-32.0;10.0;96.64;108.06;;
04/03/2021;Austria;2497;14;8901064;-41.0;-1.0;-3.0;-30.0;-27.0;9.0;81.47;89.95;;
04/03/2021;Belgium;2729;16;11522440;-40.0;2.0;-20.0;-36.0;-26.0;13.0;92.2;95.64;;
04/03/2021;Bulgaria;1154;22;6951482;-21.0;9.0;25.0;4.0;-25.0;1.0;113.87;89.29;;
04/03/2021;Croatia;747;7;4058165;-20.0;9.0;36.0;-19.0;-13.0;1.0;115.21;91.55;;
04/03/2021;Czechia;15230;187;10693939;-56.0;-5.0;-18.0;-45.0;-35.0;17.0;45.87;63.92;;
04/03/2021;Denmark;574;3;5822763;-19.0;-2.0;53.0;-43.0;-33.0;11.0;107.75;108.23;;
04/03/2021;Estonia;1417;8;1328976;-22.0;-2.0;-9.0;-35.0;-30.0;12.0;91.58;85.2;;
04/03/2021;Finland;797;2;5525292;-22.0;-1.0;22.0;-45.0;-33.0;11.0;92.81;107.83;;
04/03/2021;France;20453;322;67320216;-39.0;1.0;10.0;-30.0;-31.0;10.0;75.02;95.68;;
04/03/2021;Germany;11912;359;83166711;-45.0;0.0;-3.0;-38.0;-25.0;11.0;85.72;86.3;;
04/03/2021;Greece;2697;40;10718565;-55.0;9.0;8.0;-50.0;-34.0;10.0;89.46;70.87;;
04/03/2021;Hungary;6278;152;9769526;-23.0;10.0;6.0;-28.0;-24.0;9.0;64.46;89.54;;
04/03/2021;Ireland;559;24;4964440;-47.0;1.0;-5.0;-63.0;-45.0;19.0;42.14;57.65;;
04/03/2021;Italy;20840;347;59641488;-32.0;2.0;-3.0;-36.0;-24.0;10.0;62.7;77.94;;
04/03/2021;Latvia;919;16;1907675;-35.0;-9.0;-5.0;-43.0;-35.0;12.0;67.72;71.17;;
04/03/2021;Lithuania;526;18;2794090;-49.0;11.0;-16.0;-41.0;-32.0;12.0;94.98;76.6;;
04/03/2021;Luxembourg;270;2;626108;-37.0;-1.0;-18.0;-28.0;-26.0;11.0;90.41;80.18;;
04/03/2021;Netherlands;4991;48;17407585;-43.0;-3.0;-6.0;-53.0;-32.0;13.0;78.49;80.25;;
04/03/2021;Norway;500;9;5367580;-20.0;0.0;31.0;-44.0;-29.0;9.0;97.95;101.49;;
04/03/2021;Poland;15698;352;37958138;-24.0;1.0;-8.0;-33.0;-20.0;7.0;82.15;92.36;;
04/03/2021;Portugal;979;41;10295909;-55.0;-5.0;-40.0;-59.0;-43.0;20.0;32.65;53.3;;
04/03/2021;Romania;4278;77;19328838;-23.0;4.0;-21.0;-26.0;-24.0;2.0;108.77;85.75;;
04/03/2021;Slovakia;5285;101;5457873;-52.0;-5.0;0.0;-49.0;-36.0;14.0;83.52;67.31;;
04/03/2021;Slovenia;1210;4;2095861;-38.0;-7.0;15.0;-28.0;-22.0;7.0;109.38;89.25;;
04/03/2021;Spain;6037;254;47332614;-33.0;4.0;-5.0;-25.0;-19.0;7.0;66.12;78.4;;
04/03/2021;Sweden;4884;19;10327589;-21.0;-3.0;21.0;-43.0;-32.0;11.0;93.79;108.61;;
05/03/2021;Austria;2691;19;8901064;-45.0;-3.0;-39.0;-40.0;-30.0;12.0;73.2;91.63;;
05/03/2021;Belgium;2766;33;11522440;-37.0;11.0;19.0;-28.0;-23.0;12.0;107.01;102.37;;
05/03/2021;Bulgaria;2198;93;6951482;-23.0;11.0;20.0;0.0;-24.0;0.0;120.6;99.09;;
05/03/2021;Croatia;667;9;4058165;-27.0;12.0;5.0;-24.0;-13.0;3.0;108.37;96.56;;
05/03/2021;Czechia;14714;197;10693939;-59.0;-2.0;-36.0;-49.0;-34.0;19.0;42.62;60.81;;
05/03/2021;Denmark;520;4;5822763;-22.0;-2.0;76.0;-42.0;-33.0;11.0;127.2;114.35;;
05/03/2021;Estonia;1534;14;1328976;-22.0;6.0;-17.0;-36.0;-29.0;12.0;100.78;95.34;;
05/03/2021;Finland;758;3;5525292;-22.0;-1.0;35.0;-46.0;-33.0;12.0;99.0;123.62;;
05/03/2021;France;20495;293;67320216;-40.0;1.0;-2.0;-29.0;-32.0;12.0;77.47;100.35;;
05/03/2021;Germany;10580;264;83166711;-44.0;3.0;12.0;-38.0;-24.0;12.0;92.07;91.35;;
05/03/2021;Greece;2217;35;10718565;-58.0;5.0;9.0;-50.0;-36.0;12.0;86.29;69.64;;
05/03/2021;Hungary;6369;143;9769526;-19.0;15.0;-13.0;-28.0;-24.0;10.0;66.01;97.99;;
